corpname,link,article,pubdate
자강,https://n.news.naver.com/mnews/article/081/0003385785?sid=103,"
조선이 만난 아인슈타인/민태기 지음/위즈덤하우스/316쪽/1만 8500원



20세기 초반은 ‘물리학의 시대’였다. 1899년 독일 물리학자 막스 플랑크가 ‘플랑크상수’를 발견하면서 견고했던 고전물리학의 세계를 뒤흔들기 시작했다. 1905년에는 아인슈타인이 특수상대성 이론, 광전효과, 브라운운동 관련 논문 3편을 내놔 세상을 놀라게 했다. 미시세계에서 관찰된 특정 현상을 설명할 수 없는 고전물리학을 대체하는 양자역학이 만들어진 때이기도 하다.인류의 지식 체계를 완전히 바꿔 버린 현대물리학이 등장해 수많은 과학자가 치열한 논쟁을 벌였던 20세기 초 한반도는 일제강점기라는 암흑의 시대였다. 식민지 조선에서는 아인슈타인이나 상대성이론, 양자역학을 전혀 몰랐을까. 놀랍게도 1921년 아인슈타인이 노벨물리학상을 수상하기 전부터 조선에서는 상대성이론이 화제가 됐고 대중 강연이 신문지상에 연재됐다.1922년 11월 18일자 ‘동아일보’에는 ‘아인스타인은 누구인가’라는 제목으로 기획기사가 실렸다. “아인스타인 박사가 독일의 대학교수로 받는 월봉은 독일 지폐가 전쟁 전의 시세이면 일화 일만이천 원에 상당하지마는 작금의 시세로는 삼십삼 원 미만이라 한다. 조선인 순사보다도 더욱이 가련치 아니한가.”책을 읽다 보면 누가 이런 놀라운 과학사의 뒷얘기를 풀어냈는지 궁금해진다. 저자는 베스트셀러 ‘판타레이’를 쓴 민태기 박사다. 한국형 발사체 ‘누리호’ 엔진 개발에 참여했던 공학자로 과학사를 전공하지 않은 비전문가가 사료를 꼼꼼하게 검토해 한국 과학사의 잃어버린 고리를 찾아냈다는 점은 놀랍다.저자는 이 책을 통해 일제강점기 우리 선조들은 과학에 대해 무지하거나 무기력하지도 않았다는 점을 강조한다. 시대의 아픔과 비극을 과학 공부로 이겨 내려고 했던 조선인에게 ‘과학’은 ‘자립과 자강’이었다.100년 전 조선에서 과학 관련 기사가 크게 실리고 교양으로 과학을 공부했다는 사실이 흥미진진하지만 과학기술의 시대라면서도 큰 이벤트가 있을 때만 반짝 관심을 갖는 현재 한국 과학계의 현실이 대비돼 씁쓸함이 남는다.
		",2023-08-18 05:04:00
제이에스,https://n.news.naver.com/mnews/article/421/0006997496?sid=102,"
대방건설, 문화재청 상대로 공사중지명령취소 소송 제기



경기 김포 장릉에서 바라본 '왕릉뷰 아파트' . 2022.5.31/뉴스1 ⓒ News1 민경석 기자(서울=뉴스1) 정윤미 기자 = 왕릉 조망을 훼손한다는 이유로 건설 중단 명령을 받은 건설회사들이 문화재청을 상대로 제기한 행정소송에서 1심에 이어 2심에서도 승소했다.서울고법 행정8-1부(부장판사 정총령 조진구 신용호)는 18일 오후 대방건설(원고)이 문화재청 궁능유적본부장(피고)을 상대로 제기한 공사중지명령취소 소송에서 원심과 같이 원고 승소 판결했다.문화재청은 2021년 7월 김포 장릉 역사문화환경보존지역에서 허가 없이 아파트 19개 동을 건설한 대광이엔씨(시공사 대광건영), 제이에스글로벌(시공사 금성백조), 대방건설 등 3곳에 공사 중지를 명령하고 문화재보호법 위반 혐의로 경찰에 고발했다.문화재청이 2017년 1월부터 김포 장릉 반경 500m 내 높이 20m 이상 건축물을 지을 경우 개별 심의한다고 고시했는데, 이들 건설사가 이 같은 심의를 받지 않았다는 이유에서다.건설사들은 집행정지 신청을 냈고 법원이 이를 받아들이면서 해당 아파트는 현재 완공돼 입주가 마무리된 상태다. 제이에스글로벌과 대광이엔씨 등도 1심 행정소송에서 승소했고 내달 7일 항소심 판결을 앞두고 있다.김포 장릉은 조선 인조가 부모인 원종과 인헌왕후를 모신 왕릉이다. 사적 202호. 인조 대왕릉인 파주 장릉에서 계양산까지 일직 선상에 있는 경관을 자랑하며 2009년 유네스코 세계문화유산에 등재됐다.
		",2023-08-18 15:39:00
제이에스,https://n.news.naver.com/mnews/article/277/0005301876?sid=102,"
			유네스코 세계문화유산인 김포 장릉 인근에 문화재청장 등의 허가 없이 아파트를 지은 건설사에 대한 문화재청의 공사중지명령이 부당하다는 1심 판결이 2심에서도 유지됐다.서울고법 행정8-1부(부장판사 정총령 조진구 신용호)는 18일 대방건설이 문화재청 궁능유적본부장을 상대로 낸 공사중지명령 취소 소송 항소심에서 1심과 같이 원고 승소 판결했다.



김포 장릉 신축 아파트 단지.앞서 대방건설과 제이에스글로벌, 대광이엔씨는 인천검단신도시개발사업으로 조성된 공동주택용지를 분양받아 사업계획승인을 얻은 뒤 아파트를 건설했다.그런데 문화재청은 아파트가 건설되고 있는 공동주택용지가 국가지정문화재 사적 제202호 '김포 장릉'의 외곽경계로부터 500m 이내이기 때문에 역사문화환경 보존지역에 해당한다고 판단했다. 이 경우 문화재보호법 제35조에 따라 문화재청장의 허가를 받아야 높이 20m를 초과하는 건축물을 건축할 수 있는데, 이들 건설사들은 이 같은 허가를 받지 않았다는 이유로 김포 장릉 외곽경계로부터 500m 이내 범위 토지, 지상의 높이 20m를 초과하는 건축물에 대한 공사중지명령을 내렸다. 3400여세대 규모 아파트 44동 중 19개 동이 대상이었다.이에 건설사들은 아파트를 짓고 있는 부지가 역사문화환경 보존지역에 해당하지 않기 때문에 문화재보호법 제35조가 적용될 수 없다고 반박하며 문화재청의 처분을 취소해달라는 소송을 냈다. 취소소송과 함께 이들 건설사들이 낸 집행정지 신청이 법원에서 받아들여져 공사가 계속 진행됐고, 현재는 입주까지 마무리된 상태다.재판에서는 ▲이 사건 공동주택용지가 김포 장릉의 역사문화환경 보존지역에 해당하는지 ▲'경기도 문화재 보호 조례', '김포 장릉 등 국가지정문화재 12개소의 역사문화환경 보존지역 내 건축행위 등에 관한 허용기준 변경 고시'에 의해 문화재보호법 제35조의 허가가 필요한 공사인지 ▲이 사건 공사가 '문화재보호법 시행령' 제21조의2 2항 1호 가목에서 정하고 있는 '해당 국가지정문화재의 경관을 저해할 우려가 있는 건축물 또는 시설물을 설치·증설하는 행위'에 해당하는지 ▲문화재청의 처분이 신뢰보호원칙을 위반하고 재량권을 일탈·남용한 것으로서 위법한지 등이 쟁점이 됐다.지난해 7월 서울행정법원 행정6부(부장판사 이주영)는 대광이엔씨와 제이에스글로벌이 문화재청 궁능유적본부장을을 상대로 낸 공사중지명령 처분 취소 소송에서 각각 원고 승소 판결했다.당시 재판부는 첫 번째 쟁점과 관련 ""문화재보호법 제13조 1항은 역사문화환경 보존지역의 범위를, 문화재 외곽경계로부터 500m 이내 범위에서 조례로 정하도록 하고 있고, 그에 따라 제정된 '경기도 문화재 보호 조례' 제5조 1항 1호는 '국토의 계획 및 이용에 관한 법률'상 주거지역, 상업지역, 공업지역의 경우에는 문화재 외곽경계로부터 200m 이내, 녹지지역, 관리지역, 농림지역은 문화재 외곽경계로부터 500m 이내를 '역사문화환경 보호지역'으로 정했다""고 전제했다.이어 ""그런데 이 사건 토지는 제3종 일반주거지역에 해당하고, 김포 장릉의 외곽경계로부터 200m 바깥에 위치하므로, 원칙적으로 위 조례 조항에 따라 역사문화환경 보존지역에 해당하지 않는다고 보인다""고 밝혔다.또 재판부는 ""'경기도 문화재 보호 조례' 제5조 2항은 문화재 외곽경계로부터 200m 초과 500m 이내의 지역에서도, 10m 이상의 건축물을 건축하는 경우에는 문화재에 미치는 영향을 검토하도록 규정하고 있다""면서도 ""그러나 관련 규정을 보더라도 위 조항의 검토 주체는 건설공사의 인·허가를 담당하는 행정기관으로 보일 뿐, 위 조항으로써 해당 지역까지 역사문화환경 보존지역의 범위가 확대된다거나, 이로써 '문화재보호법' 제35조에 따른 문화재청장의 허가를 받을 의무가 생긴다고는 볼 수 없다""고 판단했다.재판부는 ""나아가 이 사건 건물 건축행위가 그 자체로 '문화재보호법 시행령' 제21조의2 2항 1호 가목에서 정하고 있는 '국가지정문화재의 경관을 저해할 우려가 있는 건축물을 설치하는 행위'에 해당한다고 단정할 수 없다""고 판단했다.재판부는 그 근거로 ▲현재 김포 장릉의 상태가 관람자 관점인 정자각에서는 사실상 별다른 조망 침해가 없고 매장주체의 관점인 봉분 앞 혼유석에서 바라볼 때 멀리 조산에 해당하는 계양산 전망이 이 사건 건물 등으로 가려진 것인데 ▲문화재청의 훈령인 '역사문화환경 보존지역 내 건축행위 등에 관한 허용기준 작성 지침'에 따르면, 능·원·묘의 조망 침해를 검토할 때에는 내부 주요 조망점에서 안산(풍수지리에서, 집터나 묏자리의 맞은편에 있는 산)이 조망될 수 있는지 여부를 중요하게 검토하도록 하고 있을 뿐, 원거리에 위치한 조산(안산 뒤 멀고 크고 높은 산) 전망은 크게 고려되지 않고 있으며 ▲실제로 김포 장릉뿐 아니라 조선왕릉 중 도시 지역에 위치한 동구릉, 정릉, 의릉, 선릉·정릉 역시 능침에서의 조산 조망이 고층 건물 등으로 가려져 있고, 김포 장릉은 안산도 기존에 건축된 아파트로 훼손돼 없는 상태인 점 ▲이러한 사실은 조선왕릉 세계유산 등재신청 당시에도 함께 보고됐으므로 조선왕릉 상당수의 조산 방향 조망이 가려져 있는 사실이나 김포 장릉의 안산이 훼손돼 있어 조망 경관이 완전치 않다는 것은 세계유산 등재 당시 이미 고려된 상황인 것으로 보이는 점 ▲실제 피고(문화재청)의 제안대로 이 사건 건물 상층부를 상당부분 철거한다고 하더라도, 여전히 문화재 외곽경계 500m 바깥에 건축 중인 다른 신축 아파트들에 의해 계양산 전망이 대부분 가려진다는 사실이 확인돼 결국 이 사건 건물 건축행위만으로 문화재의 경관이 중대하게 해쳐졌다거나, 공사 중단이나 철거로 조망이 회복된다고 단정하기도 어려운 점 등을 근거로 들었다.마지막으로 재판부는 ""이 사건 처분 당시 이 사건 건물은 이미 골조가 완성된 상태였고, 이에 공사 중단으로 원고들과 수분양자들이 입을 재산상 손해는 막대한 반면 이 사건 처분이나 이 사건 건물을 일부라도 철거해 얻을 수 있는 이익은 그에 비해 크지 않거나 미미하다""며 ""결국 이 사건 처분으로 침해되는 사익이 이 사건 처분으로 달성하고자 하는 공익과 비교해 결코 작지 않으므로, 비례의 원칙에 비춰 보더라도 이 사건 처분은 재량권 일탈·남용의 여지가 있다""고 지적했다.지난해 8월 서울행정법원 행정4부(부장판사 김정중)는 대방건설이 문화재청 궁능유적본부장을 상대로 낸 공사중지명령처분 취소소송 1심에서 원고 승소 판결했다.제이에스글로벌과 대광이엔씨가 낸 소송의 항소심 결과는 다음달 나온다.김포 장릉은 조선 선조의 5번째 아들이자 인조의 아버지인 원종(1580∼1619)과 부인 인헌왕후(1578∼1626)의 무덤이다. 사적 202호로 지정돼 있으며 유네스코 세계문화유산으로 등재된 조선 왕릉 40기에 포함된다.
",2023-08-18 15:32:00
제이에스,https://n.news.naver.com/mnews/article/079/0003803163?sid=102,"
문화재청 vs 건설사…1심에 이어 2심도 건설사 승



김포 장릉에서 바라본 '왕릉뷰 아파트' 모습. 황진환 기자 대방건설이 일명 '왕릉뷰 아파트'에 대한 공사중지 명령을 취소해달라며 문화재청을 상대로 낸 행정소송 항소심에서도 승소했다.서울고법 행정8-1부(정총령·조진구·신용호 부장판사)는 18일 대방건설이 문화재청 궁능유적본부를 상대로 낸 공사중지 명령 취소 소송 항소심에서 1심과 마찬가지로 원고 승소로 판결했다.'왕릉뷰 아파트'는 유네스코 세계문화유산 김포 장릉이 바로 보일 정도로 근처에 지어져 문화재 훼손 논란을 일으켰다.문화재청은 대방건설 등 건설사들이 역사문화환경 보존지역에 20m 이상 높이로 아파트를 지으면서 사전 심의를 받지 않아 문화재보호법을 위반했다며 아파트 공사 중지를 명령한 바 있다. 공사 중지 명령을 받은 아파트는 총 3400여세대 규모로 44동 중 19개동에 해당하는 규모였다.건설사들은 법원에 명령 취소 소송과 집행정지를 신청했고 법원이 이를 받아들이면서 공사와 입주까지 이미 마무리된 상태다.1심 재판부는 지난해 ""문화재보호법은 역사문화환경 보존지역 범위를 문화재 외곽 경계로부터 500m 이내 범위에서 조례로 정하도록 하고 있다""며 ""경기도문화재보호조례는 주거 지역의 경우 문화재 외곽 경계로부터 200m 이내를 보호지역으로 정하는데, 이들 아파트는 외곽 경계로부터 200m 바깥에 위치한다""고 판단했다.같은 부지에 아파를 지은 제이에스글로벌 대광이엔씨도 행정소송을 내 역시 1심에서 승소했으며 이 소송의 항소심 결과는 내달 나온다.김포 장릉은 조선 인조의 아버지 추존왕 원종과 부인 인헌왕후의 무덤으로 2009년 유네스코 세계문화유산으로 지정됐다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn
",2023-08-18 15:18:00
제이에스,https://n.news.naver.com/mnews/article/417/0000942970?sid=102,"




18일 뉴시스에 따르면 유네스코 세계문화유산으로 지정된 김포 장릉 근처에 문화재청 허가 없이 아파트를 짓는다는 이유로 공사중지 명령을 받아 행정소송을 제기했던 대방건설이 공사중지 명령취소 항소심에서 승소했다. 다음달 또 다른 '왕릉뷰 아파트' 시공사인 대광이엔씨와 제이에스글로벌의 재판 결과가 예정돼 있어 이번 항소심 결과의 영향이 클 것으로 보인다./사진=뉴시스 유네스코 세계문화유산인 경기 김포 장릉 인근에서 문화재청 허가없이 공사해 논란이 일었던 이른바 '왕릉뷰 아파트' 시공사 대방건설이 문화재청을 상대로 공사중단을 취소해달라며 제기한 항소심에서 승소했다. 문화재청은 문화재 주변 지역에 '문화재보호법'을 위반해 개발행위를 해도 책임을 물을 수 있는 선례를 남기려는 목적으로 소송을 이어왔다.18일 뉴시스에 따르면 서울고법 행정8-1부(부장판사 정총령·조진구·신용호)는 대방건설이 문화재청 궁능유적본부장을 상대로 낸 공사중지 명령취소 소송에서 원고 승소 판결을 내렸다. 재판부는 ""피고의 항소를 모두 기각하며 비용은 피고가 부담한다""고 판시했다.'왕릉뷰 아파트' 사태는 3개 건설업체가 김포 장릉 인근에 문화재청의 아파트를 허가 없이 짓는다며 문제를 제기하면서 시작됐다. 김포 장릉은 유네스코 세계문화유산으로 등재된 조선 왕릉 40기 중 하나로 인조 아버지 원종과 부인 인헌왕후가 묻혀있다.문화재청은 문화재 반경 500m 내 역사문화반경 보존지역에 짓는 20m 이상의 건축물은 문화재보호법에 따라 사전 심의를 받아야 하지만 건설업체들이 이 같은 절차를 지키지 않았다고 주장했다. 이에 2021년 7월 해당 아파트 19개 동에 공사중지 명령을 내린 뒤 사실상 '일부 철거'를 권고했다.건설업체들은 문화재청이 내린 공사중지 명령을 받아들일 수 없다며 법원에 공사중지 명령 취소 소송을 제기했다. 본안소송 결과가 나올 때까지 공사중지 명령을 멈춰달라며 집행정지를 신청했다.지난해 8월 서울행정법원은 아파트 부지인 검단신도시 공동주택용지가 현행 문화재보호법상 역사문화환경 보존지역에 해당하지 않는다고 판단했다. 공사중지 명령 시기도 아파트 골조공사 완료 이후여서 철거로 인한 이익이 사실상 없다며 이는 문화재청의 '재랑권 남용'으로 봤다. 대방건설은 1심 판결 한 달 후 검단 디에트르더힐 아파트 공사를 완료하고 입주를 시작했다.해당 판결로 대방건설이 1심에 이어 항소심에서도 승소하며 또 다른 건설업체인 대광이엔씨와 제이에스글로벌의 재판 결과에 시선이 쏠리고 있다. 이들 업체 또한 궁능유적본부를 상대로 공사중지 명령처분 취소소송을 냈고 지난해 7월 1심에서 승소한 바 있다. 해당 사건은 문화재청 항소로 현재 2심이 진행 중이며 선고는 다음 달로 예정됐다.
",2023-08-18 15:11:00
제이에스,https://n.news.naver.com/mnews/article/008/0004926907?sid=102,"
[theL] 대광이엔씨·제이에스글로벌, 다음달 항소심 선고



경기 김포 장릉에서 바라본 '왕릉뷰 아파트' 모습. 2022.5.31/사진=뉴스1  김포 장릉이 보이는 인천 검단신도시에 아파트를 짓다 공사중지 명령을 받은 대방건설이 불복소송을 제기해 항소심에서도 승소했다.서울고법 행정8-1부(고법판사 정총령·조진구·신용호)는 대방건설이 문화재청 궁능유적본부를 상대로 낸 공사중지명령 취소소송에 대해 18일 항소를 모두 기각하고 대방건설이 승소한 원심 판결을 유지했다.문화재청으로부터 공사중지명령을 받은 건설사는 대방건설·대광이엔씨·제이에스글로벌이다. 대광이엔씨는 다음달 7일, 제이에스글로벌은 다음달 22일 항소심 판결선고를 앞뒀다.건설사 3곳은 문화재청이 2021년 7월 '김포 장릉 역사문화환경보존지역에 아파트 19동이 허가 없이 건설되고 있다'며 공사중지를 명령하자 각각 취소소송을 제기해 지난해 7~8월 1심에서 모두 승소했다.경기도 조례에 따라 주거지역에 적용되는 역사문화환경보존지역 범위는 '문화재의 외곽경계로부터 200m 이내'다. 대방건설 사건 1심 재판부는 ""아파트 공사현장이 200m 이상 떨어져 있어 역사문화보존구역에 포함된다고 볼 수 없다""며 당시 조례와 문화재보호법에 비춰 건설사가 지자체장·문화재청장의 허가를 받을 의무가 없었다고 판단했다.문화재청은 2007년 조선왕릉에 대해 유네스코 세계문화유산 등재를 신청하면서 당시 서류에 '장릉의 전면 안산에 대규모 아파트가 들어서 조망경관을 훼손하고 있다'는 내용을 기재한 것으로 드러났다. 1심 재판부는 ""조망경관이 완전치 않다는 사실은 이미 고려됐던 것으로 보인다""며 대방건설의 손을 들어줬다.1심 재판부는 또 아파트 상층부가 일부 철거되더라도 앞뒤에 위치한 아파트 건물 때문에 조망이 회복될 가능성이 미미할 것으로 보이는 점 등을 고려했을 때 문화재청의 명령에 재량권을 일탈·남용한 것으로 볼 여지가 있다고 지적했다.김포 장릉은 2009년 유네스코 세계문화유산으로 등재된 조선왕릉 40기 중 하나다. 이곳에는 인조의 아버지 원종과 부인 인헌왕후가 묻혀있다. '왕릉뷰 아파트'로 지목된 건설사 3곳의 아파트 19동은 지난해 입주절차를 마쳤다.
",2023-08-18 14:56:00
제이에스,https://n.news.naver.com/mnews/article/055/0001082550?sid=102,"




유네스코 세계문화유산 김포 장릉 인근에 아파트를 지은 건설사가 당국의 공사중지 명령이 부당하다고 낸 행정소송 2심에서도 이겼습니다.서울고법 행정8-1부(정총령 조진구 신용호 부장판사)는 오늘(18일) 대방건설이 문화재청 궁능유적본부를 상대로 낸 공사중지 명령 취소 소송 항소심에서 1심과 같이 원고 승소로 판결했습니다.문화재청은 대방건설과 제이에스글로벌, 대광이엔씨가 조선 왕릉인 김포 장릉 반경 500m 안 역사문화환경 보존지역에서 2019년부터 20m 이상 높이로 아파트를 지으면서 사전 심의를 받지 않아 문화재보호법을 위반했다고 판단했습니다.그러면서 2021년 건설사들이 검단신도시에 지은 3천400여 세대 규모 아파트 44동 중 19개 동의 공사를 중지하라고 명령했습니다.이에 건설사들이 낸 집행정지 신청을 냈고 법원이 이를 받아들이면서 공사가 완료돼 입주까지 마무리됐습니다.같은 부지에 아파트를 지은 제이에스글로벌 대광이엔씨도 행정소송을 내 역시 1심에서 승소했으며 이 소송의 항소심 결과는 다음 달 나옵니다.
		",2023-08-18 14:54:00
제이에스,https://n.news.naver.com/mnews/article/003/0012038532?sid=102,"
문화재청 중단명령 취소소송 항소심서도 승소 남은 2개사도 1심서 승소…내달 2심 선고 앞둬



뉴시스DB.[서울=뉴시스] 김진아 기자 = 김포 장릉 인근에서 건설이 중단된 아파트 관련 대방건설이 공사중단을 취소해달라며 문화재청을 상대로 낸 소송 항소심에서도 승소했다. 서울고법 행정8-1부(부장판사 정총령·조진구·신용호)는 18일 주식회사 대방건설이 문화재청 궁능유적본부장을 상대로 낸 공사중지 명령취소 소송에서 1심과 같이 원고 승소 판결했다. 재판부는 ""피고의 항소를 모두 기각하며 비용은 피고가 부담한다""고 밝혔다. '왕릉뷰 아파트' 갈등은 문화재청이 김포 장릉 인근에서 3개 건설사가 공사 중이던 아파트가 허가 없이 지어지고 있다고 문제를 제기하며 시작됐다. 문화재청은 문화재 반경 500m 내의 역사문화환경 보존지역에 짓는 20m 이상의 건축물의 경우 문화재보호법에 따라 사전 심의를 받아야 하지만 건설사들이 이 같은 절차를 지키지 않았다고 주장했다. 김포 장릉은 조선 인조의 아버지 추존왕 원종과 부인 인헌왕후의 무덤으로 2009년 유네스코 세계문화유산으로 지정된 곳이다. 이에 따라 문화재청은 2021년 7월 해당 아파트 19개동에 공사중지 명령을 내리고 사실상 일부 철거를 권고했다. 하지만 건설사들은 공사 중지 명령을 받아들일 수 없다며 법원에 명령 취소 소송과 집행정지를 신청했다. 대방건설은 지난해 8월 1심에서 이어 이날 판결로 항소심에서도 모두 승소했다. 또 다른 건설사인 대광이엔씨와 제이에스글로벌 역시 궁능유적본부를 상대로 공사중지 명령처분 취소소송을 냈고 지난해 7월 1심에서 승소했다. 해당 사건은 문화재청 항소로 현재 2심이 진행 중이며 다음 달 선고를 앞두고 있다．
",2023-08-18 14:42:00
제이에스,https://n.news.naver.com/mnews/article/001/0014138738?sid=102,"




'왕릉 아파트' 결국 준공 승인…입주 시작(김포=연합뉴스) 윤태현 기자 = 31일 경기도 김포시 풍무동 장릉 인근 인천시 서구 검단신도시에 신축 아파트들이 우뚝 서 있다. 검단신도시 신축 아파트 단지들 중 3곳은 조선 왕릉인 장릉 인근 문화재 보존지역에서 허가 없이 건립됐다는 이유로 공사에 차질을 빚는 등 논란이 됐었다. 이 중 아파트 단지 1곳은 관할 구청이 사실상 입주를 승인하면서 이날 입주 절차를 시작했다. 2022.5.31 tomatoyoon@yna.co.kr    (서울=연합뉴스) 이대희 기자 = 유네스코 세계문화유산 김포 장릉 인근에 아파트를 지은 건설사가 당국의 공사중지 명령이 부당하다고 낸 행정소송 2심에서도 이겼다.    서울고법 행정8-1부(정총령 조진구 신용호 부장판사)는 18일 대방건설이 문화재청 궁능유적본부를 상대로 낸 공사중지 명령 취소 소송 항소심에서 1심과 같이 원고 승소로 판결했다.    문화재청은 대방건설과 제이에스글로벌, 대광이엔씨가 조선 왕릉인 김포 장릉 반경 500m 안 역사문화환경 보존지역에서 2019년부터 20m 이상 높이로 아파트를 지으면서 사전 심의를 받지 않아 문화재보호법을 위반했다고 판단했다.    그러면서 2021년 건설사들이 검단신도시에 지은 3천400여세대 규모 아파트 44동 중 19개 동의 공사를 중지하라고 명령했다.    이에 건설사들이 낸 집행정지 신청을 냈고 법원이 이를 받아들이면서 공사가 완료돼 입주까지 마무리됐다.    같은 부지에 아파를 지은 제이에스글로벌 대광이엔씨도 행정소송을 내 역시 1심에서 승소했으며 이 소송의 항소심 결과는 내달 나온다.    김포 장릉은 조선 선조의 다섯째 아들이자 인조의 아버지인 원종(1580∼1619)과 부인 인헌왕후(1578∼1626)의 무덤이다. 사적 202호로, 유네스코 세계문화유산으로 등재된 조선 왕릉 40기 중 하나다.    2vs2@yna.co.kr
",2023-08-18 14:35:00
제이에스,https://n.news.naver.com/mnews/article/382/0001069855?sid=102,"
			▲석지연 씨 별세, 김나민 강남제이에스병원장 부인상=17일, 서울 중앙대병원 장례식장 1호실, 발인 19일 오전 11시, 장지 서울추모공원-분당메모리얼파크, 02-860-3501. [스포츠동아]
",2023-08-18 14:23:00
